metric,n_recordings,mean,sd_across_recordings,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,bootstrap_resamples
accuracy,20,0.7831905381458985,0.08038402054163164,0.7485379177390277,0.8186562513601947,20260713,2000
balanced_accuracy_present_stages,20,0.705630174877703,0.08438882080212526,0.6698055935934734,0.7415630781054945,20260713,2000
macro_recall_5_stages,20,0.6781629653400267,0.10618082853386239,0.6339250250214181,0.7240161360178979,20260713,2000
cohen_kappa,20,0.6737367753202494,0.11984136691697567,0.6231810481925093,0.7266788201441835,20260713,2000
macro_f1,20,0.6302931271735898,0.11419332203041907,0.5807342474971042,0.6831747049751967,20260713,2000
