,precision,recall,f1-score,support
W,0.872144501505224,0.9357780733422003,0.9028414298808433,10526.0
N1,0.5233441910966341,0.15468549422336328,0.23879118157047313,3116.0
N2,0.7565807327001357,0.8457882495702296,0.7987012987012987,9889.0
N3,0.538315088053308,0.8402674591381872,0.6562228024369017,1346.0
REM,0.8230609418282548,0.7028385570668244,0.7582137161084529,3382.0
accuracy,0.7857319791924696,0.7857319791924696,0.7857319791924696,0.7857319791924696
macro avg,0.7026890910367113,0.695871566668161,0.6709540857395939,28259.0
weighted avg,0.7714683676618299,0.7857319791924696,0.7641209538736455,28259.0
