subject,recording,stage,precision,recall,f1,support,zero_support
61,1,N1,0.038461538461538464,0.008130081300813009,0.013422818791946308,123.0,False
61,1,N2,0.32225063938618925,0.9130434782608695,0.4763705103969754,276.0,False
61,1,N3,0.7964601769911505,0.6474820143884892,0.7142857142857143,139.0,False
61,1,REM,0.65,0.06516290726817042,0.11845102505694761,399.0,False
62,1,W,0.991701244813278,0.7198795180722891,0.8342059336823735,332.0,False
62,1,N1,0.3611111111111111,0.04710144927536232,0.08333333333333333,276.0,False
62,1,N2,0.6890243902439024,0.9100671140939597,0.7842683632157317,745.0,False
62,1,N3,0.125,0.7857142857142857,0.21568627450980393,14.0,False
62,1,REM,0.5416666666666666,0.6666666666666666,0.5977011494252874,78.0,False
63,1,W,0.7894736842105263,0.8732876712328768,0.8292682926829268,292.0,False
63,1,N1,0.42857142857142855,0.022900763358778626,0.043478260869565216,131.0,False
63,1,N2,0.7508710801393729,0.896049896049896,0.8170616113744076,481.0,False
63,1,N3,0.5573770491803278,0.8717948717948718,0.68,39.0,False
63,1,REM,0.8979591836734694,0.7333333333333333,0.8073394495412844,120.0,False
64,1,W,0.7980769230769231,0.7879746835443038,0.7929936305732485,632.0,False
64,1,N1,0.44285714285714284,0.17318435754189945,0.24899598393574296,179.0,False
64,1,N2,0.7357293868921776,0.9109947643979057,0.8140350877192982,382.0,False
64,1,N3,0.0,0.0,0.0,0.0,True
64,1,REM,0.76,0.9743589743589743,0.8539325842696629,78.0,False
66,1,W,0.7924528301886793,0.9731232622798888,0.8735440931780366,1079.0,False
66,1,N1,1.0,0.029333333333333333,0.05699481865284974,375.0,False
66,1,N2,0.6117381489841986,0.6421800947867299,0.6265895953757226,422.0,False
66,1,N3,0.20103092783505155,0.975,0.3333333333333333,40.0,False
66,1,REM,0.41509433962264153,0.2,0.26993865030674846,110.0,False
67,1,W,0.9056603773584906,0.9201277955271565,0.9128367670364501,939.0,False
67,1,N1,0.7272727272727273,0.06741573033707865,0.12339331619537275,356.0,False
67,1,N2,0.5862068965517241,0.9053254437869822,0.7116279069767442,507.0,False
67,1,N3,0.21739130434782608,0.8823529411764706,0.3488372093023256,17.0,False
67,1,REM,0.937984496124031,0.8120805369127517,0.8705035971223022,149.0,False
74,1,W,0.8872810357958872,0.9479251423921887,0.9166011014948859,1229.0,False
74,1,N1,0.37142857142857144,0.16455696202531644,0.22807017543859648,158.0,False
74,1,N2,0.8385579937304075,0.8770491803278688,0.8573717948717948,610.0,False
74,1,N3,0.0,0.0,0.0,0.0,True
74,1,REM,0.7553191489361702,0.6666666666666666,0.7082294264339152,213.0,False
81,1,W,0.9505813953488372,0.9083333333333333,0.9289772727272727,360.0,False
81,1,N1,0.5517241379310345,0.18181818181818182,0.27350427350427353,88.0,False
81,1,N2,0.8349900596421471,0.7954545454545454,0.8147429679922406,528.0,False
81,1,N3,0.53125,0.9834710743801653,0.6898550724637681,121.0,False
81,1,REM,0.8860103626943006,0.8724489795918368,0.8791773778920309,196.0,False
