metric,n_recordings,mean,sd_across_recordings,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,bootstrap_resamples
accuracy,2,0.8107943636585121,0.036789832270659885,0.7847800237812128,0.8368087035358114,20260713,2000
balanced_accuracy_present_stages,2,0.766941092505377,0.09905560028494691,0.696898205829387,0.8369839791813671,20260713,2000
macro_recall_5_stages,2,0.766941092505377,0.09905560028494691,0.696898205829387,0.8369839791813671,20260713,2000
cohen_kappa,2,0.7425069102326052,0.037535472007048334,0.7159653234413834,0.7690484970238268,20260713,2000
macro_f1,2,0.7524776438350633,0.06587238522689562,0.7058988335481928,0.7990564541219337,20260713,2000
