,precision,recall,f1-score,support
W,0.7754569190600522,0.8608695652173913,0.8159340659340659,345.0
N1,0.48148148148148145,0.5449101796407185,0.5112359550561798,167.0
N2,0.9057104913678619,0.8399014778325123,0.8715654952076677,812.0
N3,0.8099173553719008,0.9046153846153846,0.8546511627906976,325.0
REM,0.85546875,0.7423728813559322,0.79491833030853,295.0
accuracy,0.8143004115226338,0.8143004115226338,0.8143004115226338,0.8143004115226338
macro avg,0.7656069994562593,0.7785338977323878,0.7696610018594281,1944.0
weighted avg,0.8225120294340005,0.8143004115226338,0.8162795137336698,1944.0
