subject,recording,stage,precision,recall,f1,support,zero_support
0,1,W,0.728448275862069,0.898936170212766,0.8047619047619048,188.0,False
0,1,N1,0.47619047619047616,0.3448275862068966,0.4,58.0,False
0,1,N2,0.8029739776951673,0.864,0.8323699421965318,250.0,False
0,1,N3,0.8767123287671232,0.8727272727272727,0.8747152619589977,220.0,False
0,1,REM,0.7974683544303798,0.504,0.6176470588235294,125.0,False
1,1,W,0.847682119205298,0.8152866242038217,0.8311688311688312,157.0,False
1,1,N1,0.48299319727891155,0.6513761467889908,0.5546875,109.0,False
1,1,N2,0.9628099173553719,0.8291814946619217,0.8910133843212237,562.0,False
1,1,N3,0.7083333333333334,0.9714285714285714,0.8192771084337349,105.0,False
1,1,REM,0.8813559322033898,0.9176470588235294,0.899135446685879,170.0,False
